date,game_pk,home_team,away_team,home_team_name,away_team_name,commence_time_utc,snapshot_time_utc,n_books,home_ml_close,away_ml_close,home_no_vig_prob
2026-08-01,822781,TOR,STL,Toronto Blue Jays,St. Louis Cardinals,2026-08-01T19:07:00+00:00,2026-08-01T19:01:59.813762+00:00,9,-175,145,0.6092362344582594
2026-08-01,823109,SEA,MIN,Seattle Mariners,Minnesota Twins,2026-08-01T20:10:00+00:00,2026-08-01T20:04:59.985030+00:00,9,-165,145,0.6040343668285393
2026-08-01,822944,TB,CWS,Tampa Bay Rays,Chicago White Sox,2026-08-01T20:10:00+00:00,2026-08-01T20:04:59.985030+00:00,9,-166,150,0.6093979441997063
2026-08-01,823594,NYM,MIA,New York Mets,Miami Marlins,2026-08-01T20:10:00+00:00,2026-08-01T20:04:59.985030+00:00,9,-136,113,0.551057677674631
2026-08-01,824485,CIN,PIT,Cincinnati Reds,Pittsburgh Pirates,2026-08-01T22:40:00+00:00,2026-08-01T22:34:59.994314+00:00,9,106,-116,0.474767012484614
2026-08-01,824808,BAL,PHI,Baltimore Orioles,Philadelphia Phillies,2026-08-01T23:05:00+00:00,2026-08-01T23:05:00.000180+00:00,9,127,-154,0.4208224261903972
2026-08-01,824162,HOU,TEX,Houston Astros,Texas Rangers,2026-08-01T23:10:00+00:00,2026-08-01T23:10:00.000226+00:00,9,105,-125,0.4675324675324675
2026-08-01,824405,CLE,ARI,Cleveland Guardians,Arizona Diamondbacks,2026-08-01T23:15:00+00:00,2026-08-01T23:10:00.000226+00:00,9,-185,150,0.6187290969899665
2026-08-01,824890,ATL,WSH,Atlanta Braves,Washington Nationals,2026-08-01T23:15:00+00:00,2026-08-01T23:10:00.000226+00:00,9,-165,145,0.6040343668285393
2026-08-01,824649,CHC,NYY,Chicago Cubs,New York Yankees,2026-08-01T23:15:00+00:00,2026-08-01T23:10:00.000226+00:00,9,-129,110,0.5419083816763353
2026-08-01,824326,COL,KC,Colorado Rockies,Kansas City Royals,2026-08-02T00:10:00+00:00,2026-08-02T00:05:00.000107+00:00,9,-127,108,0.5378288134212884
2026-08-01,823269,SD,SF,San Diego Padres,San Francisco Giants,2026-08-02T00:40:00+00:00,2026-08-02T00:35:00.000628+00:00,9,-147,133,0.5810079557598683
2026-08-01,823920,LAD,BOS,Los Angeles Dodgers,Boston Red Sox,2026-08-02T01:10:00+00:00,2026-08-02T01:04:59.912960+00:00,9,-180,162,0.6274614156466205
2026-08-01,824000,LAA,MIL,Los Angeles Angels,Milwaukee Brewers,2026-08-02T01:38:00+00:00,2026-08-02T01:34:59.997310+00:00,9,134,-150,0.415973377703827
2026-08-01,824972,OAK,DET,Athletics,Detroit Tigers,2026-08-02T01:40:00+00:00,2026-08-02T01:34:59.997310+00:00,9,155,-190,0.37443511943189156
